Short description,Description,Caller,Assignment group
global erp crm:  please investigate why agbighyail espinosa's employee account in erp crm is not recognized as an employee,"global erp crm:  please investigate why agbighyail espinosa's employee account in erp crm is not recognized as an employee.  please refer to the screenshots in the attached email.  wdkaoneh unqlarpk is an employee, but her employee account in erp crm is not displayed if you search using ""role is employee"".  you can only find her employee account in erp crm if you don't specify ""role is employee"".",aoyrspjv hctgfeal,GRP_15
can't search work center # in machine # field in collective confirmation (header level),"erp-mii

we can search machine numbers by typing work center numbers in the pop up box of machine field. this works in time event and normal confirmation but does not work in collective header level",entuakhp xrnhtdmk,GRP_41
job HostName_1019fail1 failed in job_scheduler at: 08/22/2016 15:00:00,"received from: monitoring_tool@company.com

job HostName_1019fail1 failed in job_scheduler at: 08/22/2016 15:00:00",bpctwhsn kzqsbmtp,GRP_8
cannot change in conditions tab,"received from: nuhfwplj.ojcwxser@gmail.com

hello,
it appears i don't have access to change any values in the conditions tab.  please review for the issue, as i need to complete this quote and convert to usd/kg instead of rub/kg.

[cid:image001.png@01d1fc7d.3c4918b0]",nuhfwplj ojcwxser,GRP_13
reset passwords for pzjelyxg vstyaouc using password_management_tool password reset.,the,pzjelyxg vstyaouc,GRP_17
ticket update on ticket_no0432805,ticket update on ticket_no0432805,fumkcsji sarmtlhy,GRP_0
"quadra chek pc in the eaymvrzj bumzwtco will not start, power is connected but nthing when button is pressed.","quadra chek pc in the eaymvrzj bumzwtco will not start, power is connected but nthing when button is pressed.",nwgcbfdt ahmbnsoi,GRP_3
collaboration_platform site  ownership,"received from: unrbafjx.reyshakw@gmail.com

hello it help,

since the owner has left the company, please reallocate the ownership of this subsite to my name.",unrbafjx reyshakw,GRP_16
vip 2 // unable to open any files from collaboration_platform,stdezpqw bkmeuhfz has never been able to open any kind of files from collaboration_platform. it keeps on asking her for email address and password and even after entering it keeps coming back.,stdezpqw bkmeuhfz,GRP_16
cannot access to company collaboration_platform,"received from: zywoxerf.paqxtrfk@gmail.com

dear it:
i either cannot access to company collaboration_platform or after the ""company collaboration_platform"" page stuck at a blank page of ""outlook.office365.com"" as shown below.


[cid:image001.png@01d1fc73.23ca3cb0]",zywoxerf paqxtrfk,GRP_0
erp order acknowledgement weight difference,"received from: nuhfwplj.ojcwxser@gmail.com

hello,

please review the quantity on the attached  order acknowledgement.
in the quantity column the weight of 4.536 kg is correct.
in the description field the qty is 3.000 kg.  this is incorrect.
correct the quantity value to be 4.536 kg in both areas.",nuhfwplj ojcwxser,GRP_13
unable to load collaboration_platform,unable to load collaboration_platform,shpnkgir mpsycbxl,GRP_0
india company: tcl circuit intermittently flapping since at 12:50 pm est on 08/22. site is active on primary.,intermittent flap in tcl link.. tcl#3740oc220816.,mnlazfsr mtqrkhnx,GRP_4
having to approve the same credit memo several times.,"please review the approver level for stefyty ross (director of sales).  at times, i am having to approve the same credit memo 2 to 3 times in workflow.  this should not be happening.",sghamujc shompueb,GRP_13
unable to login to the replacement laptop as its showing no connection to server.,unable to login to the replacement laptop as its showing no connection to server.,eocvkuxw eqfsphnd,GRP_0
job Job_1374 failed in job_scheduler at: 08/22/2016 13:06:00,"received from: monitoring_tool@company.com

job Job_1374 failed in job_scheduler at: 08/22/2016 13:06:00",bpctwhsn kzqsbmtp,GRP_9
account locked,account locked,cvjdqazg ejdnpytr,GRP_0
skype connectivity is flickering: automatically signout and signing in back. no sfb online outage from server end.,"network team,

kindly look into the below issue:

skype connectivity is flickering: automatically sign-out and signing in back. no sfb online outage from office 365 server end.

issue is with multiple user. kindly keep the ticket priority as sev 3 till the issue is resolved.",qasouhlc xkhsirtd,GRP_4
unable access - net weaver,"received from: rhwvpmlq.zuwhpqrc@gmail.com

hello ,

i am unable to access the below . kindly do the needful.


[cid:image001.png@01d1fcc3.37c4c640]",rhwvpmlq zuwhpqrc,GRP_0
team sproc is not assigning indirect revenue,the tam sproc is incorrectly inner joining previous ytd revenue when it should be left joining so that it wont result in an empty result set if there is no previous revenue (aka the first period of a financial_toolcal year),fqxnplkb cqhnavfp,GRP_25
pikosa cannot log into work station,"hello,
xepcsrvh tbsokfyl for several days cannot log into her workstation, because telephony_software says it is used, but does not specify by whom (screenshot in the attachment). the station she wants to log into is hers and she had always used. please advise.",ahydmrbu fjymgtvo,GRP_7
download drawing response is error even though a succesful email is received,"when i send the input to download a drawing, i always get a reply ""email not sent"" but i still get the email. for example, below input 

        {
           ""i_mail_inputs"":
           {
             ""sales_doc"":"""",
             ""delivery_doc"":"""",
             ""billing_doc"":"""",
             ""purchasing_doc"":"""",
             ""pur_sch_agr"":"""",
             ""mat_drawing"":""x"",
             ""doc_num"":""3115968804"",
             ""language"":""e"",
             ""mail_id"":""tskwevno.sjhpoakl@gmail.com"",
             ""download_flag"":""""
          }
        }

the document number has a special material in it which has a pdf drawing. when i send the above input, i expect it sends email and it definitely sends the email fine. however, the reply i get from erp always is ""email not sent"" which does not make sense as i do get the email.
important – the downloading of file to ftp site works fine. it is just not returning a valid message even when it successfully send the email.",tskwevno sjhpoakl,GRP_20
unable to login to erp SID_34,unable to login to erp SID_34,afslkeui qgzfptjw,GRP_0
"network outage :kingston, pa :site is hard down since at 10:19 am et on 08/22.no backup","what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ______10:19 am et on 08/22_______________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __na____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",oldrctiu bxurpsyi,GRP_4
"circuit outage:usa, nv - divestiture site:secondary circuit is down since at 10:23 am et on 08/22.primary is up.","what type of outage:  _____network     _x____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   ______10:23 am et on 08/22_______________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ____yes____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",oldrctiu bxurpsyi,GRP_8
emails,"received from: raifstow.gfeymtql@gmail.com

hello,

i need 4 email account tabs removed from my main email and then 2 new ones added.

needs to be removed:
k-hntl usa-grind
w-hntl usa-grind
k-na westcoast rrc
w-na westcoast rrc


ones to be added:
w-rckf.grind@company.com<mailto:w-rckf.grind@company.com>
w-rckf.grind@company.com<mailto:w-rckf.grind@company.com>",raifstow gfeymtql,GRP_0
"circuit outage:vogelfontein, south africa , sa secondary circuit is down since at 5:41 am et on 08/22.primary circuit is up.","what type of outage:  _____network     __x___circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ___5:41 am et on 08/22__________________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ____yes____     (yes/no/na) 

7. site contact notified (phone/email) ?  ____email_____     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",oldrctiu bxurpsyi,GRP_8
roadking features,"the features on the road king page are not expanding. on click, there is a div container that is supposed to open up and show additional content. this is no longer working.

page:



see screenshot attached.",lenxvcbq vwnhjtoi,GRP_51
erp SID_34 password reset,erp SID_34 password reset,rzglsoma qkjfwmnz,GRP_0
problems with vpn client,"Received from: fmhlugqk.dpraethi@gmail.com

Hello gentlemen,

I can not use our vpn.
the following error messages I got:

2 times comes this:
[Cid: image001.png@01d1fc9a.c5af05c0]

at the third try:
[Cid: image002.png@01d1fc9a.c5af05c0]

was username and password in order.
Please check it and solve.

Thank you

Üdvözlettel / best with friendly greetings /",fmhlugqk dpraethi,GRP_0
unable to log in to erp SID_34,unable to log in to erp SID_34,varldgiw hfyogqnj,GRP_0
require access to canadian legal reporting website...thank you in advance!,"received from: wznkpjis.rantlypb@gmail.com

[cid:image001.png@01d1fc62.e2977201]

wznkpjis rantlypb, b.sc., tsrp
sr. ehs analyst
wznkpjis.rantlypb@gmail.com<mailto:wznkpjis.rantlypb@gmail.com>",wznkpjis rantlypb,GRP_0
user not able to connect to t drive,user not able to connect to t drive,crkdjbot qiztrxne,GRP_0
request to reset microsoft online services password for aedzqlvj.mkosyxgh@gmail.com,"from: nwfodmhc exurcwkm 
sent: monday, august 22, 2016 3:21 pm
to: bmhxwvys tdmgolwn
cc: tiyhum kuyiomar
subject: re: sabrthy request to reset microsoft online services password for bmhxwvys.tdmgolwn@gmail.com

hi suhrhtyju,

please reset your password in",aedzqlvj mkosyxgh,GRP_34
collaboration_platform issue,collaboration_platform issue,crqonkxm ipyazqjx,GRP_0
erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,tmbxvipy knsdqlbx,GRP_0
request to reset microsoft online services password for bmhxwvys.tdmgolwn@gmail.com,"from: nwfodmhc exurcwkm 
sent: monday, august 22, 2016 3:21 pm
to: bmhxwvys tdmgolwn
cc: tiyhum kuyiomar
subject: re: sabrthy request to reset microsoft online services password for bmhxwvys.tdmgolwn@gmail.com

hi suhrhtyju,

please reset your password in",bmhxwvys tdmgolwn,GRP_0
skype calls not working,"received from: pyrtfdxu.nxfkqmoy@gmail.com

i can't make a skype call through my pc.  i can't hear them and they can't hear me.",pyrtfdxu nxfkqmoy,GRP_0
logon missing in erp,"name:mitctdrh whaley
language:
browser:microsoft internet explorer
email:trhuymvb.egpcwrkj@gmail.com
customer number:
telephone:
summary:erp issue, cant login! login not available",trhuymvb egpcwrkj,GRP_0
